Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
521742,22509,SEWING BOX RETROSPOT DESIGN ,1,2010-09-08 11:35:00,16.95,12777,United Kingdom
533133,79321,CHILLI LIGHTS,1,2010-11-16 12:50:00,4.95,15850,United Kingdom
523129,21014,SWISS CHALET TREE DECORATION ,1,2010-09-20 13:44:00,0.85,17841,United Kingdom
499779,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,2010-03-02 14:12:00,2.95,16103,United Kingdom
510151,22501,PICNIC BASKET WICKER LARGE,2,2010-05-27 13:15:00,9.95,13173,United Kingdom
522253,22274,FELTCRAFT DOLL EMILY,6,2010-09-13 12:29:00,2.95,17426,United Kingdom
496002,20726,LUNCH BAG WOODLAND,10,2010-01-28 12:06:00,1.65,16746,United Kingdom
535085,20713,JUMBO BAG OWLS,10,2010-11-25 09:48:00,1.95,12839,United Kingdom
497844,22332,SKULLS PARTY BAG + STICKER SET,5,2010-02-12 15:51:00,1.65,17258,United Kingdom
526039,21481,FAWN BLUE HOT WATER BOTTLE,36,2010-10-08 11:48:00,2.55,15144,United Kingdom
531485,22737,RIBBON REEL CHRISTMAS PRESENT ,10,2010-11-08 14:51:00,1.65,15992,United Kingdom
523867,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,1,2010-09-24 12:43:00,8.5,13174,United Kingdom
525715,21675,BUTTERFLIES STICKERS,12,2010-10-06 14:31:00,0.85,16307,United Kingdom
529843,21647,ASSORTED TUTTI FRUTTI LARGE PURSE,1,2010-10-31 12:56:00,2.1,16065,United Kingdom
522967,22940,FELTCRAFT CHRISTMAS FAIRY,3,2010-09-19 13:02:00,4.25,18257,United Kingdom
501920,48111,DOOR MAT 3 SMILEY CATS,4,2010-03-22 10:23:00,7.49,14040,United Kingdom
513491,22605,WOODEN CROQUET GARDEN SET,1,2010-06-25 09:30:00,12.75,15240,United Kingdom
504831,22546,MINI JIGSAW PURDEY,10,2010-04-16 13:35:00,0.42,17913,United Kingdom
502249,22283,6 EGG HOUSE PAINTED WOOD,1,2010-03-23 14:09:00,7.95,17797,United Kingdom
500999,21900,"KEY FOB , SHED",6,2010-03-11 13:46:00,0.65,16933,United Kingdom
533462,22030,SWALLOWS GREETING CARD,24,2010-11-17 12:15:00,0.42,17349,United Kingdom
527297,21777,RECIPE BOX WITH METAL HEART,2,2010-10-15 14:11:00,7.95,15615,United Kingdom
513948,22487,WHITE WOOD GARDEN PLANT LADDER,1,2010-06-29 13:46:00,9.95,14389,United Kingdom
535816,21326,AGED GLASS SILVER T-LIGHT HOLDER,3,2010-11-28 15:25:00,0.65,14986,United Kingdom
511104,17165B,ASS COL LARGE SAND GECKO P'WEIGHT,18,2010-06-07 09:37:00,1.05,17602,United Kingdom
498590,84452,METAL RABBIT LADDER EASTER ,12,2010-02-21 15:28:00,0.85,13044,United Kingdom
522789,22470,HEART OF WICKER LARGE,12,2010-09-16 14:41:00,2.95,14221,United Kingdom
534210,22121,NOEL WOODEN BLOCK LETTERS ,1,2010-11-21 15:56:00,5.95,18069,United Kingdom
